size1,size2,scheme,test_acc,time,params
128,128,Постоянная,53.010000000000005,125.0309693813324,411146
128,256,Расширение,52.05,206.8673918247223,428938
128,512,Расширение,52.43,276.55899810791016,464522
128,1024,Расширение,51.51,444.70746397972107,535690
256,128,Сужение,52.900000000000006,326.13922023773193,820874
256,256,Постоянная,52.690000000000005,191.42198133468628,855050
256,512,Расширение,52.21,373.78789234161377,923402
256,1024,Расширение,51.66,208.32021832466125,1060106
512,128,Сужение,54.400000000000006,383.5383610725403,1640330
512,256,Сужение,53.31,146.20610451698303,1707274
512,512,Постоянная,53.05,311.1492314338684,1841162
512,1024,Расширение,52.949999999999996,158.2866358757019,2108938
1024,128,Сужение,53.68000000000001,178.04423546791077,3279242
1024,256,Сужение,53.66,186.8751871585846,3411722
1024,512,Сужение,54.16,207.56306338310242,3676682
1024,1024,Постоянная,52.83,196.79976224899292,4206602
